"Plaèna vrzel med spoloma po obèinah prebivališèa, Slovenija, letno"

"OBÈINE";"2017";"2018";"2019";"2020"
"Trebnje";2.4;4.2;2.6;-1.2
"Tržiè";8.5;10.5;9.8;6.0
"Turnišèe";14.5;14.3;13.2;8.4
"Velenje";16.6;17.2;14.0;9.7
"Velike Lašèe";4.5;6.0;2.2;-2.0
"Videm";14.2;15.3;15.3;8.3
"Vipava";5.0;5.3;4.9;3.7
"Vitanje";9.1;12.1;12.3;7.1
"Vodice";5.9;7.3;5.2;4.3
"Vojnik";10.1;10.6;10.7;6.4
"Vrhnika";3.3;5.4;3.9;1.6
"Vuzenica";10.3;14.2;12.5;6.5
"Zagorje ob Savi";7.6;7.4;5.6;1.7
"Zavrè";11.1;12.0;15.8;7.8
"Zreèe";7.2;8.1;8.4;3.5
"Železniki";12.6;12.2;11.0;7.4
"Žiri";6.9;7.0;4.6;1.3
"Benedikt";6.1;12.4;11.3;4.2
"Bistrica ob Sotli";5.7;6.8;2.3;-6.3
"Bloke";0.9;-1.0;-4.4;-8.4
"Braslovèe";13.0;14.9;14.1;14.2
"Cankova";8.5;10.7;5.9;1.9
"Cerkvenjak";5.3;7.3;4.8;4.2
"Dobje";0.7;2.5;6.0;0.2
"Dobrna";8.9;12.2;11.4;8.0
"Dobrovnik/Dobronak";-0.8;-4.2;4.9;-2.8
"Dolenjske Toplice";5.0;6.6;5.3;2.8
"Grad";14.1;14.3;11.2;10.4
"Hajdina";15.0;15.3;11.7;5.9
"Hoèe - Slivnica";3.8;6.6;5.4;1.2
"Hodoš/Hodos";23.4;16.7;17.0;13.6
"Horjul";8.2;11.0;7.9;4.9
"Jezersko";10.5;5.2;8.2;15.7
"Komenda";10.0;8.5;7.6;6.6
"Kostel";-9.4;-6.4;-2.1;0.8
"Križevci";10.1;15.9;13.5;9.6
"Lovrenc na Pohorju";8.9;9.6;12.6;9.8
"Markovci";11.3;18.1;16.9;9.6
"Miklavž na Dravskem polju";9.5;12.1;11.9;4.7
"Mirna Peè";16.3;16.4;12.8;9.0
"Oplotnica";12.1;15.5;13.6;7.2
"Podlehnik";13.4;15.7;13.4;8.0
"Polzela";14.3;15.8;13.2;11.5
"Prebold";7.2;9.5;7.7;3.0
"Prevalje";13.8;15.0;11.1;7.4
"Razkrižje";13.2;15.1;15.8;4.4
"Ribnica na Pohorju";0.7;8.5;6.5;3.7
"Selnica ob Dravi";9.4;8.7;8.8;2.6
"Sodražica";9.4;8.3;4.4;-3.7
"Solèava";-7.9;-7.7;-12.9;-12.8
"Sveta Ana";6.7;7.1;4.7;1.7
"Sveti Andraž v Slov. goricah";-1.1;3.8;10.6;0.9
"Šempeter - Vrtojba";5.8;6.9;5.3;0.3
"Tabor";2.2;8.1;8.3;4.7
"Trnovska vas";14.6;11.7;10.4;4.5
"Trzin";6.9;6.8;3.0;-4.6
"Velika Polana";4.2;7.2;9.2;1.9
"Veržej";11.9;10.6;4.2;-0.4
"Vransko";9.0;11.0;11.0;2.2
"Žalec";8.2;9.6;8.0;2.4
"Žetale";13.3;16.1;10.4;4.1
"Žirovnica";6.8;4.9;6.2;3.1
"Žužemberk";6.8;7.7;7.8;3.9
"Šmartno pri Litiji";10.4;11.3;8.5;4.4
"Apaèe";8.8;10.3;13.2;7.3
"Cirkulane";13.1;14.7;14.2;10.8
"Kostanjevica na Krki";5.0;3.8;1.4;-2.5
"Makole";20.3;20.1;14.6;3.7
"Mokronog - Trebelno";5.1;6.9;5.0;1.6
"Poljèane";14.2;16.1;13.8;7.9
"Renèe - Vogrsko";4.7;7.9;6.9;-0.6
"Središèe ob Dravi";-1.3;1.8;2.0;-3.4
"Straža";-0.6;-2.3;-1.9;-5.2
"Sveta Trojica v Slov. goricah";1.0;2.6;0.2;-1.3
"Sveti Tomaž";8.4;13.1;14.5;3.8
"Šmarješke Toplice";3.1;4.6;1.9;-0.4
"Gorje";12.2;10.3;7.8;5.7
"Log - Dragomer";8.7;10.7;11.2;7.4
"Reèica ob Savinji";1.2;2.8;-2.1;-5.1
"Sveti Jurij v Slov. goricah";4.8;9.0;3.7;-6.2
"Šentrupert";-2.9;-2.1;-0.6;-3.8
"Mirna";4.3;4.1;3.1;0.8
"Ankaran/Ancarano";8.2;8.6;6.5;7.8
