obcina,regija,leto,spol,izobrazba,stevilo,prebivalci,odstotek
Ajdovščina,Goriška,2012,Moški, Osnovnošolska ali manj - Skupaj,2119,9593,22.09
Ajdovščina,Goriška,2012,Moški, Srednješolska - Skupaj,4859,9593,50.65
Ajdovščina,Goriška,2012,Moški," Višješolska, visokošolska - Skupaj",1081,9593,11.27
Ajdovščina,Goriška,2012,Moški, Visokošolska 1. stopnje ipd.,473,9593,4.93
Ajdovščina,Goriška,2012,Moški, Visokošolska 2. stopnje ipd.,518,9593,5.4
Ajdovščina,Goriška,2012,Moški, Visokošolska 3. stopnje ipd.,90,9593,0.94
Ajdovščina,Goriška,2012,Ženske, Osnovnošolska ali manj - Skupaj,3102,9394,33.02
Ajdovščina,Goriška,2012,Ženske, Srednješolska - Skupaj,3203,9394,34.1
Ajdovščina,Goriška,2012,Ženske," Višješolska, visokošolska - Skupaj",1621,9394,17.26
Ajdovščina,Goriška,2012,Ženske, Visokošolska 1. stopnje ipd.,696,9394,7.41
Ajdovščina,Goriška,2012,Ženske, Visokošolska 2. stopnje ipd.,847,9394,9.02
Ajdovščina,Goriška,2012,Ženske, Visokošolska 3. stopnje ipd.,78,9394,0.83
Ajdovščina,Goriška,2013,Moški, Osnovnošolska ali manj - Skupaj,2009,9595,20.94
Ajdovščina,Goriška,2013,Moški, Srednješolska - Skupaj,4882,9595,50.88
Ajdovščina,Goriška,2013,Moški," Višješolska, visokošolska - Skupaj",1113,9595,11.6
Ajdovščina,Goriška,2013,Moški, Visokošolska 1. stopnje ipd.,498,9595,5.19
Ajdovščina,Goriška,2013,Moški, Visokošolska 2. stopnje ipd.,523,9595,5.45
Ajdovščina,Goriška,2013,Moški, Visokošolska 3. stopnje ipd.,92,9595,0.96
Ajdovščina,Goriška,2013,Ženske, Osnovnošolska ali manj - Skupaj,3021,9394,32.16
Ajdovščina,Goriška,2013,Ženske, Srednješolska - Skupaj,3227,9394,34.35
Ajdovščina,Goriška,2013,Ženske," Višješolska, visokošolska - Skupaj",1654,9394,17.61
Ajdovščina,Goriška,2013,Ženske, Visokošolska 1. stopnje ipd.,723,9394,7.7
Ajdovščina,Goriška,2013,Ženske, Visokošolska 2. stopnje ipd.,855,9394,9.1
Ajdovščina,Goriška,2013,Ženske, Visokošolska 3. stopnje ipd.,76,9394,0.81
Ajdovščina,Goriška,2014,Moški, Osnovnošolska ali manj - Skupaj,1925,9556,20.14
Ajdovščina,Goriška,2014,Moški, Srednješolska - Skupaj,4846,9556,50.71
Ajdovščina,Goriška,2014,Moški," Višješolska, visokošolska - Skupaj",1177,9556,12.32
Ajdovščina,Goriška,2014,Moški, Visokošolska 1. stopnje ipd.,543,9556,5.68
Ajdovščina,Goriška,2014,Moški, Visokošolska 2. stopnje ipd.,537,9556,5.62
Ajdovščina,Goriška,2014,Moški, Visokošolska 3. stopnje ipd.,97,9556,1.02
Ajdovščina,Goriška,2014,Ženske, Osnovnošolska ali manj - Skupaj,2945,9313,31.62
Ajdovščina,Goriška,2014,Ženske, Srednješolska - Skupaj,3106,9313,33.35
Ajdovščina,Goriška,2014,Ženske," Višješolska, visokošolska - Skupaj",1766,9313,18.96
Ajdovščina,Goriška,2014,Ženske, Visokošolska 1. stopnje ipd.,797,9313,8.56
Ajdovščina,Goriška,2014,Ženske, Visokošolska 2. stopnje ipd.,881,9313,9.46
Ajdovščina,Goriška,2014,Ženske, Visokošolska 3. stopnje ipd.,88,9313,0.94
Ajdovščina,Goriška,2015,Moški, Osnovnošolska ali manj - Skupaj,1859,9601,19.36
Ajdovščina,Goriška,2015,Moški, Srednješolska - Skupaj,4874,9601,50.77
Ajdovščina,Goriška,2015,Moški," Višješolska, visokošolska - Skupaj",1207,9601,12.57
Ajdovščina,Goriška,2015,Moški, Visokošolska 1. stopnje ipd.,562,9601,5.85
Ajdovščina,Goriška,2015,Moški, Visokošolska 2. stopnje ipd.,542,9601,5.65
Ajdovščina,Goriška,2015,Moški, Visokošolska 3. stopnje ipd.,103,9601,1.07
Ajdovščina,Goriška,2015,Ženske, Osnovnošolska ali manj - Skupaj,2900,9381,30.91
Ajdovščina,Goriška,2015,Ženske, Srednješolska - Skupaj,3099,9381,33.03
Ajdovščina,Goriška,2015,Ženske," Višješolska, visokošolska - Skupaj",1859,9381,19.82
Ajdovščina,Goriška,2015,Ženske, Visokošolska 1. stopnje ipd.,852,9381,9.08
Ajdovščina,Goriška,2015,Ženske, Visokošolska 2. stopnje ipd.,915,9381,9.75
Ajdovščina,Goriška,2015,Ženske, Visokošolska 3. stopnje ipd.,92,9381,0.98
Ajdovščina,Goriška,2016,Moški, Osnovnošolska ali manj - Skupaj,1807,9622,18.78
Ajdovščina,Goriška,2016,Moški, Srednješolska - Skupaj,4922,9622,51.15
Ajdovščina,Goriška,2016,Moški," Višješolska, visokošolska - Skupaj",1263,9622,13.13
Ajdovščina,Goriška,2016,Moški, Visokošolska 1. stopnje ipd.,590,9622,6.13
Ajdovščina,Goriška,2016,Moški, Visokošolska 2. stopnje ipd.,564,9622,5.86
Ajdovščina,Goriška,2016,Moški, Visokošolska 3. stopnje ipd.,109,9622,1.13
Ajdovščina,Goriška,2016,Ženske, Osnovnošolska ali manj - Skupaj,2828,9431,29.99
Ajdovščina,Goriška,2016,Ženske, Srednješolska - Skupaj,3089,9431,32.75
Ajdovščina,Goriška,2016,Ženske," Višješolska, visokošolska - Skupaj",1962,9431,20.8
Ajdovščina,Goriška,2016,Ženske, Visokošolska 1. stopnje ipd.,913,9431,9.68
Ajdovščina,Goriška,2016,Ženske, Visokošolska 2. stopnje ipd.,941,9431,9.98
Ajdovščina,Goriška,2016,Ženske, Visokošolska 3. stopnje ipd.,108,9431,1.15
Ajdovščina,Goriška,2017,Moški, Osnovnošolska ali manj - Skupaj,1770,9683,18.28
Ajdovščina,Goriška,2017,Moški, Srednješolska - Skupaj,4910,9683,50.71
Ajdovščina,Goriška,2017,Moški," Višješolska, visokošolska - Skupaj",1326,9683,13.69
Ajdovščina,Goriška,2017,Moški, Visokošolska 1. stopnje ipd.,635,9683,6.56
Ajdovščina,Goriška,2017,Moški, Visokošolska 2. stopnje ipd.,581,9683,6
Ajdovščina,Goriška,2017,Moški, Visokošolska 3. stopnje ipd.,110,9683,1.14
Ajdovščina,Goriška,2017,Ženske, Osnovnošolska ali manj - Skupaj,2761,9450,29.22
Ajdovščina,Goriška,2017,Ženske, Srednješolska - Skupaj,3042,9450,32.19
Ajdovščina,Goriška,2017,Ženske," Višješolska, visokošolska - Skupaj",2064,9450,21.84
Ajdovščina,Goriška,2017,Ženske, Visokošolska 1. stopnje ipd.,945,9450,10
Ajdovščina,Goriška,2017,Ženske, Visokošolska 2. stopnje ipd.,997,9450,10.55
Ajdovščina,Goriška,2017,Ženske, Visokošolska 3. stopnje ipd.,122,9450,1.29
Ajdovščina,Goriška,2018,Moški, Osnovnošolska ali manj - Skupaj,1712,9719,17.61
Ajdovščina,Goriška,2018,Moški, Srednješolska - Skupaj,4935,9719,50.78
Ajdovščina,Goriška,2018,Moški," Višješolska, visokošolska - Skupaj",1362,9719,14.01
Ajdovščina,Goriška,2018,Moški, Visokošolska 1. stopnje ipd.,659,9719,6.78
Ajdovščina,Goriška,2018,Moški, Visokošolska 2. stopnje ipd.,589,9719,6.06
Ajdovščina,Goriška,2018,Moški, Visokošolska 3. stopnje ipd.,114,9719,1.17
Ajdovščina,Goriška,2018,Ženske, Osnovnošolska ali manj - Skupaj,2686,9422,28.51
Ajdovščina,Goriška,2018,Ženske, Srednješolska - Skupaj,3064,9422,32.52
Ajdovščina,Goriška,2018,Ženske," Višješolska, visokošolska - Skupaj",2112,9422,22.42
Ajdovščina,Goriška,2018,Ženske, Visokošolska 1. stopnje ipd.,964,9422,10.23
Ajdovščina,Goriška,2018,Ženske, Visokošolska 2. stopnje ipd.,1025,9422,10.88
Ajdovščina,Goriška,2018,Ženske, Visokošolska 3. stopnje ipd.,123,9422,1.31
Ajdovščina,Goriška,2019,Moški, Osnovnošolska ali manj - Skupaj,1650,9885,16.69
Ajdovščina,Goriška,2019,Moški, Srednješolska - Skupaj,5058,9885,51.17
Ajdovščina,Goriška,2019,Moški," Višješolska, visokošolska - Skupaj",1406,9885,14.22
Ajdovščina,Goriška,2019,Moški, Visokošolska 1. stopnje ipd.,669,9885,6.77
Ajdovščina,Goriška,2019,Moški, Visokošolska 2. stopnje ipd.,612,9885,6.19
Ajdovščina,Goriška,2019,Moški, Visokošolska 3. stopnje ipd.,125,9885,1.26
Ajdovščina,Goriška,2019,Ženske, Osnovnošolska ali manj - Skupaj,2585,9421,27.44
Ajdovščina,Goriška,2019,Ženske, Srednješolska - Skupaj,3088,9421,32.78
Ajdovščina,Goriška,2019,Ženske," Višješolska, visokošolska - Skupaj",2177,9421,23.11
Ajdovščina,Goriška,2019,Ženske, Visokošolska 1. stopnje ipd.,980,9421,10.4
Ajdovščina,Goriška,2019,Ženske, Visokošolska 2. stopnje ipd.,1065,9421,11.3
Ajdovščina,Goriška,2019,Ženske, Visokošolska 3. stopnje ipd.,132,9421,1.4
Ajdovščina,Goriška,2020,Moški, Osnovnošolska ali manj - Skupaj,1686,10044,16.79
Ajdovščina,Goriška,2020,Moški, Srednješolska - Skupaj,5132,10044,51.1
Ajdovščina,Goriška,2020,Moški," Višješolska, visokošolska - Skupaj",1429,10044,14.23
Ajdovščina,Goriška,2020,Moški, Visokošolska 1. stopnje ipd.,680,10044,6.77
Ajdovščina,Goriška,2020,Moški, Visokošolska 2. stopnje ipd.,630,10044,6.27
Ajdovščina,Goriška,2020,Moški, Visokošolska 3. stopnje ipd.,119,10044,1.18
Ajdovščina,Goriška,2020,Ženske, Osnovnošolska ali manj - Skupaj,2542,9500,26.76
Ajdovščina,Goriška,2020,Ženske, Srednješolska - Skupaj,3097,9500,32.6
Ajdovščina,Goriška,2020,Ženske," Višješolska, visokošolska - Skupaj",2230,9500,23.47
Ajdovščina,Goriška,2020,Ženske, Visokošolska 1. stopnje ipd.,1010,9500,10.63
Ajdovščina,Goriška,2020,Ženske, Visokošolska 2. stopnje ipd.,1084,9500,11.41
Ajdovščina,Goriška,2020,Ženske, Visokošolska 3. stopnje ipd.,136,9500,1.43
Ankaran,Obalno-kraška,2012,Moški, Osnovnošolska ali manj - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2012,Moški, Srednješolska - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2012,Moški," Višješolska, visokošolska - Skupaj",NA,NA,NA
Ankaran,Obalno-kraška,2012,Moški, Visokošolska 1. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2012,Moški, Visokošolska 2. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2012,Moški, Visokošolska 3. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2012,Ženske, Osnovnošolska ali manj - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2012,Ženske, Srednješolska - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2012,Ženske," Višješolska, visokošolska - Skupaj",NA,NA,NA
Ankaran,Obalno-kraška,2012,Ženske, Visokošolska 1. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2012,Ženske, Visokošolska 2. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2012,Ženske, Visokošolska 3. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2013,Moški, Osnovnošolska ali manj - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2013,Moški, Srednješolska - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2013,Moški," Višješolska, visokošolska - Skupaj",NA,NA,NA
Ankaran,Obalno-kraška,2013,Moški, Visokošolska 1. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2013,Moški, Visokošolska 2. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2013,Moški, Visokošolska 3. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2013,Ženske, Osnovnošolska ali manj - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2013,Ženske, Srednješolska - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2013,Ženske," Višješolska, visokošolska - Skupaj",NA,NA,NA
Ankaran,Obalno-kraška,2013,Ženske, Visokošolska 1. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2013,Ženske, Visokošolska 2. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2013,Ženske, Visokošolska 3. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2014,Moški, Osnovnošolska ali manj - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2014,Moški, Srednješolska - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2014,Moški," Višješolska, visokošolska - Skupaj",NA,NA,NA
Ankaran,Obalno-kraška,2014,Moški, Visokošolska 1. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2014,Moški, Visokošolska 2. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2014,Moški, Visokošolska 3. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2014,Ženske, Osnovnošolska ali manj - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2014,Ženske, Srednješolska - Skupaj,NA,NA,NA
Ankaran,Obalno-kraška,2014,Ženske," Višješolska, visokošolska - Skupaj",NA,NA,NA
Ankaran,Obalno-kraška,2014,Ženske, Visokošolska 1. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2014,Ženske, Visokošolska 2. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2014,Ženske, Visokošolska 3. stopnje ipd.,NA,NA,NA
Ankaran,Obalno-kraška,2015,Moški, Osnovnošolska ali manj - Skupaj,300,1583,18.95
Ankaran,Obalno-kraška,2015,Moški, Srednješolska - Skupaj,714,1583,45.1
Ankaran,Obalno-kraška,2015,Moški," Višješolska, visokošolska - Skupaj",357,1583,22.55
Ankaran,Obalno-kraška,2015,Moški, Visokošolska 1. stopnje ipd.,161,1583,10.17
Ankaran,Obalno-kraška,2015,Moški, Visokošolska 2. stopnje ipd.,156,1583,9.85
Ankaran,Obalno-kraška,2015,Moški, Visokošolska 3. stopnje ipd.,40,1583,2.53
Ankaran,Obalno-kraška,2015,Ženske, Osnovnošolska ali manj - Skupaj,350,1645,21.28
Ankaran,Obalno-kraška,2015,Ženske, Srednješolska - Skupaj,678,1645,41.22
Ankaran,Obalno-kraška,2015,Ženske," Višješolska, visokošolska - Skupaj",402,1645,24.44
Ankaran,Obalno-kraška,2015,Ženske, Visokošolska 1. stopnje ipd.,178,1645,10.82
Ankaran,Obalno-kraška,2015,Ženske, Visokošolska 2. stopnje ipd.,181,1645,11
Ankaran,Obalno-kraška,2015,Ženske, Visokošolska 3. stopnje ipd.,43,1645,2.61
Ankaran,Obalno-kraška,2016,Moški, Osnovnošolska ali manj - Skupaj,285,1576,18.08
Ankaran,Obalno-kraška,2016,Moški, Srednješolska - Skupaj,716,1576,45.43
Ankaran,Obalno-kraška,2016,Moški," Višješolska, visokošolska - Skupaj",372,1576,23.6
Ankaran,Obalno-kraška,2016,Moški, Visokošolska 1. stopnje ipd.,167,1576,10.6
Ankaran,Obalno-kraška,2016,Moški, Visokošolska 2. stopnje ipd.,158,1576,10.03
Ankaran,Obalno-kraška,2016,Moški, Visokošolska 3. stopnje ipd.,47,1576,2.98
Ankaran,Obalno-kraška,2016,Ženske, Osnovnošolska ali manj - Skupaj,338,1654,20.44
Ankaran,Obalno-kraška,2016,Ženske, Srednješolska - Skupaj,680,1654,41.11
Ankaran,Obalno-kraška,2016,Ženske," Višješolska, visokošolska - Skupaj",427,1654,25.82
Ankaran,Obalno-kraška,2016,Ženske, Visokošolska 1. stopnje ipd.,190,1654,11.49
Ankaran,Obalno-kraška,2016,Ženske, Visokošolska 2. stopnje ipd.,189,1654,11.43
Ankaran,Obalno-kraška,2016,Ženske, Visokošolska 3. stopnje ipd.,48,1654,2.9
Ankaran,Obalno-kraška,2017,Moški, Osnovnošolska ali manj - Skupaj,289,1575,18.35
Ankaran,Obalno-kraška,2017,Moški, Srednješolska - Skupaj,717,1575,45.52
Ankaran,Obalno-kraška,2017,Moški," Višješolska, visokošolska - Skupaj",376,1575,23.87
Ankaran,Obalno-kraška,2017,Moški, Visokošolska 1. stopnje ipd.,167,1575,10.6
Ankaran,Obalno-kraška,2017,Moški, Visokošolska 2. stopnje ipd.,157,1575,9.97
Ankaran,Obalno-kraška,2017,Moški, Visokošolska 3. stopnje ipd.,52,1575,3.3
Ankaran,Obalno-kraška,2017,Ženske, Osnovnošolska ali manj - Skupaj,326,1642,19.85
Ankaran,Obalno-kraška,2017,Ženske, Srednješolska - Skupaj,665,1642,40.5
Ankaran,Obalno-kraška,2017,Ženske," Višješolska, visokošolska - Skupaj",446,1642,27.16
Ankaran,Obalno-kraška,2017,Ženske, Visokošolska 1. stopnje ipd.,202,1642,12.3
Ankaran,Obalno-kraška,2017,Ženske, Visokošolska 2. stopnje ipd.,195,1642,11.88
Ankaran,Obalno-kraška,2017,Ženske, Visokošolska 3. stopnje ipd.,49,1642,2.98
Ankaran,Obalno-kraška,2018,Moški, Osnovnošolska ali manj - Skupaj,268,1561,17.17
Ankaran,Obalno-kraška,2018,Moški, Srednješolska - Skupaj,724,1561,46.38
Ankaran,Obalno-kraška,2018,Moški," Višješolska, visokošolska - Skupaj",371,1561,23.77
Ankaran,Obalno-kraška,2018,Moški, Visokošolska 1. stopnje ipd.,166,1561,10.63
Ankaran,Obalno-kraška,2018,Moški, Visokošolska 2. stopnje ipd.,156,1561,9.99
Ankaran,Obalno-kraška,2018,Moški, Visokošolska 3. stopnje ipd.,49,1561,3.14
Ankaran,Obalno-kraška,2018,Ženske, Osnovnošolska ali manj - Skupaj,318,1651,19.26
Ankaran,Obalno-kraška,2018,Ženske, Srednješolska - Skupaj,649,1651,39.31
Ankaran,Obalno-kraška,2018,Ženske," Višješolska, visokošolska - Skupaj",465,1651,28.16
Ankaran,Obalno-kraška,2018,Ženske, Visokošolska 1. stopnje ipd.,209,1651,12.66
Ankaran,Obalno-kraška,2018,Ženske, Visokošolska 2. stopnje ipd.,204,1651,12.36
Ankaran,Obalno-kraška,2018,Ženske, Visokošolska 3. stopnje ipd.,52,1651,3.15
Ankaran,Obalno-kraška,2019,Moški, Osnovnošolska ali manj - Skupaj,250,1554,16.09
Ankaran,Obalno-kraška,2019,Moški, Srednješolska - Skupaj,735,1554,47.3
Ankaran,Obalno-kraška,2019,Moški," Višješolska, visokošolska - Skupaj",364,1554,23.42
Ankaran,Obalno-kraška,2019,Moški, Visokošolska 1. stopnje ipd.,161,1554,10.36
Ankaran,Obalno-kraška,2019,Moški, Visokošolska 2. stopnje ipd.,153,1554,9.85
Ankaran,Obalno-kraška,2019,Moški, Visokošolska 3. stopnje ipd.,50,1554,3.22
Ankaran,Obalno-kraška,2019,Ženske, Osnovnošolska ali manj - Skupaj,296,1656,17.87
Ankaran,Obalno-kraška,2019,Ženske, Srednješolska - Skupaj,669,1656,40.4
Ankaran,Obalno-kraška,2019,Ženske," Višješolska, visokošolska - Skupaj",475,1656,28.68
Ankaran,Obalno-kraška,2019,Ženske, Visokošolska 1. stopnje ipd.,212,1656,12.8
Ankaran,Obalno-kraška,2019,Ženske, Visokošolska 2. stopnje ipd.,210,1656,12.68
Ankaran,Obalno-kraška,2019,Ženske, Visokošolska 3. stopnje ipd.,53,1656,3.2
Ankaran,Obalno-kraška,2020,Moški, Osnovnošolska ali manj - Skupaj,255,1565,16.29
Ankaran,Obalno-kraška,2020,Moški, Srednješolska - Skupaj,729,1565,46.58
Ankaran,Obalno-kraška,2020,Moški," Višješolska, visokošolska - Skupaj",369,1565,23.58
Ankaran,Obalno-kraška,2020,Moški, Visokošolska 1. stopnje ipd.,164,1565,10.48
Ankaran,Obalno-kraška,2020,Moški, Visokošolska 2. stopnje ipd.,153,1565,9.78
Ankaran,Obalno-kraška,2020,Moški, Visokošolska 3. stopnje ipd.,52,1565,3.32
Ankaran,Obalno-kraška,2020,Ženske, Osnovnošolska ali manj - Skupaj,299,1673,17.87
Ankaran,Obalno-kraška,2020,Ženske, Srednješolska - Skupaj,676,1673,40.41
Ankaran,Obalno-kraška,2020,Ženske," Višješolska, visokošolska - Skupaj",484,1673,28.93
Ankaran,Obalno-kraška,2020,Ženske, Visokošolska 1. stopnje ipd.,216,1673,12.91
Ankaran,Obalno-kraška,2020,Ženske, Visokošolska 2. stopnje ipd.,217,1673,12.97
Ankaran,Obalno-kraška,2020,Ženske, Visokošolska 3. stopnje ipd.,51,1673,3.05
Apače,Pomurska,2012,Moški, Osnovnošolska ali manj - Skupaj,542,1790,30.28
Apače,Pomurska,2012,Moški, Srednješolska - Skupaj,932,1790,52.07
Apače,Pomurska,2012,Moški," Višješolska, visokošolska - Skupaj",92,1790,5.14
Apače,Pomurska,2012,Moški, Visokošolska 1. stopnje ipd.,49,1790,2.74
Apače,Pomurska,2012,Moški, Visokošolska 2. stopnje ipd.,39,1790,2.18
Apače,Pomurska,2012,Moški, Visokošolska 3. stopnje ipd.,4,1790,0.22
Apače,Pomurska,2012,Ženske, Osnovnošolska ali manj - Skupaj,733,1828,40.1
Apače,Pomurska,2012,Ženske, Srednješolska - Skupaj,695,1828,38.02
Apače,Pomurska,2012,Ženske," Višješolska, visokošolska - Skupaj",156,1828,8.53
Apače,Pomurska,2012,Ženske, Visokošolska 1. stopnje ipd.,81,1828,4.43
Apače,Pomurska,2012,Ženske, Visokošolska 2. stopnje ipd.,69,1828,3.77
Apače,Pomurska,2012,Ženske, Visokošolska 3. stopnje ipd.,6,1828,0.33
Apače,Pomurska,2013,Moški, Osnovnošolska ali manj - Skupaj,524,1794,29.21
Apače,Pomurska,2013,Moški, Srednješolska - Skupaj,932,1794,51.95
Apače,Pomurska,2013,Moški," Višješolska, visokošolska - Skupaj",99,1794,5.52
Apače,Pomurska,2013,Moški, Visokošolska 1. stopnje ipd.,54,1794,3.01
Apače,Pomurska,2013,Moški, Visokošolska 2. stopnje ipd.,42,1794,2.34
Apače,Pomurska,2013,Moški, Visokošolska 3. stopnje ipd.,3,1794,0.17
Apače,Pomurska,2013,Ženske, Osnovnošolska ali manj - Skupaj,701,1820,38.52
Apače,Pomurska,2013,Ženske, Srednješolska - Skupaj,710,1820,39.01
Apače,Pomurska,2013,Ženske," Višješolska, visokošolska - Skupaj",162,1820,8.9
Apače,Pomurska,2013,Ženske, Visokošolska 1. stopnje ipd.,85,1820,4.67
Apače,Pomurska,2013,Ženske, Visokošolska 2. stopnje ipd.,70,1820,3.85
Apače,Pomurska,2013,Ženske, Visokošolska 3. stopnje ipd.,7,1820,0.38
Apače,Pomurska,2014,Moški, Osnovnošolska ali manj - Skupaj,514,1797,28.6
Apače,Pomurska,2014,Moški, Srednješolska - Skupaj,937,1797,52.14
Apače,Pomurska,2014,Moški," Višješolska, visokošolska - Skupaj",106,1797,5.9
Apače,Pomurska,2014,Moški, Visokošolska 1. stopnje ipd.,60,1797,3.34
Apače,Pomurska,2014,Moški, Visokošolska 2. stopnje ipd.,43,1797,2.39
Apače,Pomurska,2014,Moški, Visokošolska 3. stopnje ipd.,3,1797,0.17
Apače,Pomurska,2014,Ženske, Osnovnošolska ali manj - Skupaj,684,1817,37.64
Apače,Pomurska,2014,Ženske, Srednješolska - Skupaj,702,1817,38.64
Apače,Pomurska,2014,Ženske," Višješolska, visokošolska - Skupaj",189,1817,10.4
Apače,Pomurska,2014,Ženske, Visokošolska 1. stopnje ipd.,105,1817,5.78
Apače,Pomurska,2014,Ženske, Visokošolska 2. stopnje ipd.,76,1817,4.18
Apače,Pomurska,2014,Ženske, Visokošolska 3. stopnje ipd.,8,1817,0.44
Apače,Pomurska,2015,Moški, Osnovnošolska ali manj - Skupaj,489,1787,27.36
Apače,Pomurska,2015,Moški, Srednješolska - Skupaj,939,1787,52.55
Apače,Pomurska,2015,Moški," Višješolska, visokošolska - Skupaj",111,1787,6.21
Apače,Pomurska,2015,Moški, Visokošolska 1. stopnje ipd.,64,1787,3.58
Apače,Pomurska,2015,Moški, Visokošolska 2. stopnje ipd.,44,1787,2.46
Apače,Pomurska,2015,Moški, Visokošolska 3. stopnje ipd.,3,1787,0.17
Apače,Pomurska,2015,Ženske, Osnovnošolska ali manj - Skupaj,653,1798,36.32
Apače,Pomurska,2015,Ženske, Srednješolska - Skupaj,711,1798,39.54
Apače,Pomurska,2015,Ženske," Višješolska, visokošolska - Skupaj",194,1798,10.79
Apače,Pomurska,2015,Ženske, Visokošolska 1. stopnje ipd.,109,1798,6.06
Apače,Pomurska,2015,Ženske, Visokošolska 2. stopnje ipd.,80,1798,4.45
Apače,Pomurska,2015,Ženske, Visokošolska 3. stopnje ipd.,5,1798,0.28
Apače,Pomurska,2016,Moški, Osnovnošolska ali manj - Skupaj,468,1775,26.37
Apače,Pomurska,2016,Moški, Srednješolska - Skupaj,946,1775,53.3
Apače,Pomurska,2016,Moški," Višješolska, visokošolska - Skupaj",117,1775,6.59
Apače,Pomurska,2016,Moški, Visokošolska 1. stopnje ipd.,72,1775,4.06
Apače,Pomurska,2016,Moški, Visokošolska 2. stopnje ipd.,41,1775,2.31
Apače,Pomurska,2016,Moški, Visokošolska 3. stopnje ipd.,4,1775,0.23
Apače,Pomurska,2016,Ženske, Osnovnošolska ali manj - Skupaj,633,1797,35.23
Apače,Pomurska,2016,Ženske, Srednješolska - Skupaj,709,1797,39.45
Apače,Pomurska,2016,Ženske," Višješolska, visokošolska - Skupaj",210,1797,11.69
Apače,Pomurska,2016,Ženske, Visokošolska 1. stopnje ipd.,117,1797,6.51
Apače,Pomurska,2016,Ženske, Visokošolska 2. stopnje ipd.,88,1797,4.9
Apače,Pomurska,2016,Ženske, Visokošolska 3. stopnje ipd.,5,1797,0.28
Apače,Pomurska,2017,Moški, Osnovnošolska ali manj - Skupaj,441,1761,25.04
Apače,Pomurska,2017,Moški, Srednješolska - Skupaj,945,1761,53.66
Apače,Pomurska,2017,Moški," Višješolska, visokošolska - Skupaj",128,1761,7.27
Apače,Pomurska,2017,Moški, Visokošolska 1. stopnje ipd.,75,1761,4.26
Apače,Pomurska,2017,Moški, Visokošolska 2. stopnje ipd.,46,1761,2.61
Apače,Pomurska,2017,Moški, Visokošolska 3. stopnje ipd.,7,1761,0.4
Apače,Pomurska,2017,Ženske, Osnovnošolska ali manj - Skupaj,615,1790,34.36
Apače,Pomurska,2017,Ženske, Srednješolska - Skupaj,693,1790,38.72
Apače,Pomurska,2017,Ženske," Višješolska, visokošolska - Skupaj",232,1790,12.96
Apače,Pomurska,2017,Ženske, Visokošolska 1. stopnje ipd.,125,1790,6.98
Apače,Pomurska,2017,Ženske, Visokošolska 2. stopnje ipd.,98,1790,5.47
Apače,Pomurska,2017,Ženske, Visokošolska 3. stopnje ipd.,9,1790,0.5
Apače,Pomurska,2018,Moški, Osnovnošolska ali manj - Skupaj,423,1752,24.14
Apače,Pomurska,2018,Moški, Srednješolska - Skupaj,951,1752,54.28
Apače,Pomurska,2018,Moški," Višješolska, visokošolska - Skupaj",129,1752,7.36
Apače,Pomurska,2018,Moški, Visokošolska 1. stopnje ipd.,76,1752,4.34
Apače,Pomurska,2018,Moški, Visokošolska 2. stopnje ipd.,47,1752,2.68
Apače,Pomurska,2018,Moški, Visokošolska 3. stopnje ipd.,6,1752,0.34
Apače,Pomurska,2018,Ženske, Osnovnošolska ali manj - Skupaj,606,1775,34.14
Apače,Pomurska,2018,Ženske, Srednješolska - Skupaj,696,1775,39.21
Apače,Pomurska,2018,Ženske," Višješolska, visokošolska - Skupaj",237,1775,13.35
