obcina,regija,leto,spol,izobrazba,stevilo,prebivalci,odstotek
Žalec,Savinjska,2018,Ženske, Visokošolska 2. stopnje ipd.,924,10666,8.66
Žalec,Savinjska,2018,Ženske, Visokošolska 3. stopnje ipd.,142,10666,1.33
Žalec,Savinjska,2019,Moški, Osnovnošolska ali manj - Skupaj,1750,10742,16.29
Žalec,Savinjska,2019,Moški, Srednješolska - Skupaj,5730,10742,53.34
Žalec,Savinjska,2019,Moški," Višješolska, visokošolska - Skupaj",1615,10742,15.03
Žalec,Savinjska,2019,Moški, Visokošolska 1. stopnje ipd.,830,10742,7.73
Žalec,Savinjska,2019,Moški, Visokošolska 2. stopnje ipd.,664,10742,6.18
Žalec,Savinjska,2019,Moški, Visokošolska 3. stopnje ipd.,121,10742,1.13
Žalec,Savinjska,2019,Ženske, Osnovnošolska ali manj - Skupaj,2504,10640,23.53
Žalec,Savinjska,2019,Ženske, Srednješolska - Skupaj,4224,10640,39.7
Žalec,Savinjska,2019,Ženske," Višješolska, visokošolska - Skupaj",2320,10640,21.8
Žalec,Savinjska,2019,Ženske, Visokošolska 1. stopnje ipd.,1211,10640,11.38
Žalec,Savinjska,2019,Ženske, Visokošolska 2. stopnje ipd.,962,10640,9.04
Žalec,Savinjska,2019,Ženske, Visokošolska 3. stopnje ipd.,147,10640,1.38
Žalec,Savinjska,2020,Moški, Osnovnošolska ali manj - Skupaj,1746,10854,16.09
Žalec,Savinjska,2020,Moški, Srednješolska - Skupaj,5823,10854,53.65
Žalec,Savinjska,2020,Moški," Višješolska, visokošolska - Skupaj",1646,10854,15.16
Žalec,Savinjska,2020,Moški, Visokošolska 1. stopnje ipd.,843,10854,7.77
Žalec,Savinjska,2020,Moški, Visokošolska 2. stopnje ipd.,677,10854,6.24
Žalec,Savinjska,2020,Moški, Visokošolska 3. stopnje ipd.,126,10854,1.16
Žalec,Savinjska,2020,Ženske, Osnovnošolska ali manj - Skupaj,2473,10670,23.18
Žalec,Savinjska,2020,Ženske, Srednješolska - Skupaj,4241,10670,39.75
Žalec,Savinjska,2020,Ženske," Višješolska, visokošolska - Skupaj",2366,10670,22.17
Žalec,Savinjska,2020,Ženske, Visokošolska 1. stopnje ipd.,1255,10670,11.76
Žalec,Savinjska,2020,Ženske, Visokošolska 2. stopnje ipd.,964,10670,9.03
Žalec,Savinjska,2020,Ženske, Visokošolska 3. stopnje ipd.,147,10670,1.38
Železniki,Gorenjska,2012,Moški, Osnovnošolska ali manj - Skupaj,684,3482,19.64
Železniki,Gorenjska,2012,Moški, Srednješolska - Skupaj,1720,3482,49.4
Železniki,Gorenjska,2012,Moški," Višješolska, visokošolska - Skupaj",423,3482,12.15
Železniki,Gorenjska,2012,Moški, Visokošolska 1. stopnje ipd.,211,3482,6.06
Železniki,Gorenjska,2012,Moški, Visokošolska 2. stopnje ipd.,189,3482,5.43
Železniki,Gorenjska,2012,Moški, Visokošolska 3. stopnje ipd.,23,3482,0.66
Železniki,Gorenjska,2012,Ženske, Osnovnošolska ali manj - Skupaj,1109,3318,33.42
Železniki,Gorenjska,2012,Ženske, Srednješolska - Skupaj,1137,3318,34.27
