obcina,regija,leto,stevilo.studentk,stopnja.razlike
OPLOTNICA,Podravska,2017,117,12.1
OPLOTNICA,Podravska,2018,122,15.5
OPLOTNICA,Podravska,2019,125,13.6
OPLOTNICA,Podravska,2020,108,7.2
ORMOŽ,Podravska,2012,155,5.0
ORMOŽ,Podravska,2013,157,3.4
ORMOŽ,Podravska,2014,159,6.6
ORMOŽ,Podravska,2015,155,7.6
ORMOŽ,Podravska,2016,150,6.8
ORMOŽ,Podravska,2017,165,7.3
ORMOŽ,Podravska,2018,171,10.4
ORMOŽ,Podravska,2019,148,11.1
ORMOŽ,Podravska,2020,172,1.3
OSILNICA,Jugovzhodna Slovenija,2012,200,-0.5
OSILNICA,Jugovzhodna Slovenija,2013,150,-13.9
OSILNICA,Jugovzhodna Slovenija,2014,167,-3.5
OSILNICA,Jugovzhodna Slovenija,2015,100,-4.6
OSILNICA,Jugovzhodna Slovenija,2016,75,4.0
OSILNICA,Jugovzhodna Slovenija,2017,NA,-7.4
OSILNICA,Jugovzhodna Slovenija,2018,NA,-3.1
OSILNICA,Jugovzhodna Slovenija,2019,NA,-4.5
OSILNICA,Jugovzhodna Slovenija,2020,500,-20.6
PESNICA,Podravska,2012,151,7.0
PESNICA,Podravska,2013,152,7.9
PESNICA,Podravska,2014,134,6.1
PESNICA,Podravska,2015,145,7.6
PESNICA,Podravska,2016,128,7.4
PESNICA,Podravska,2017,120,7.4
PESNICA,Podravska,2018,137,10.2
PESNICA,Podravska,2019,139,9.0
PESNICA,Podravska,2020,128,2.6
PIRAN,Obalno-kraška,2012,135,18.6
PIRAN,Obalno-kraška,2013,131,15.2
PIRAN,Obalno-kraška,2014,134,12.9
PIRAN,Obalno-kraška,2015,137,13.9
PIRAN,Obalno-kraška,2016,138,14.1
PIRAN,Obalno-kraška,2017,128,14.6
PIRAN,Obalno-kraška,2018,134,11.7
PIRAN,Obalno-kraška,2019,138,10.9
PIRAN,Obalno-kraška,2020,132,6.6
PIVKA,Primorsko-notranjska,2012,191,3.9
PIVKA,Primorsko-notranjska,2013,170,6.8
PIVKA,Primorsko-notranjska,2014,190,6.9
PIVKA,Primorsko-notranjska,2015,214,9.5
PIVKA,Primorsko-notranjska,2016,179,9.6
PIVKA,Primorsko-notranjska,2017,166,10.8
PIVKA,Primorsko-notranjska,2018,153,10.7
PIVKA,Primorsko-notranjska,2019,141,8.3
PIVKA,Primorsko-notranjska,2020,156,6.0
PODČETRTEK,Savinjska,2012,168,-0.5
PODČETRTEK,Savinjska,2013,184,-1.7
PODČETRTEK,Savinjska,2014,178,0.7
PODČETRTEK,Savinjska,2015,169,2.4
PODČETRTEK,Savinjska,2016,161,2.2
PODČETRTEK,Savinjska,2017,163,5.5
PODČETRTEK,Savinjska,2018,156,6.7
PODČETRTEK,Savinjska,2019,167,6.1
PODČETRTEK,Savinjska,2020,159,4.7
PODLEHNIK,Podravska,2012,170,7.3
PODLEHNIK,Podravska,2013,170,8.9
PODLEHNIK,Podravska,2014,167,11.2
PODLEHNIK,Podravska,2015,121,11.6
PODLEHNIK,Podravska,2016,114,13.0
PODLEHNIK,Podravska,2017,189,13.4
PODLEHNIK,Podravska,2018,121,15.7
PODLEHNIK,Podravska,2019,188,13.4
PODLEHNIK,Podravska,2020,236,8.0
PODVELKA,Koroška,2012,132,-1.8
PODVELKA,Koroška,2013,90,-1.0
PODVELKA,Koroška,2014,116,0.5
PODVELKA,Koroška,2015,97,-2.4
PODVELKA,Koroška,2016,100,3.7
PODVELKA,Koroška,2017,97,0.1
PODVELKA,Koroška,2018,103,6.9
PODVELKA,Koroška,2019,115,7.2
PODVELKA,Koroška,2020,112,0.2
POLJČANE,Podravska,2012,152,11.4
POLJČANE,Podravska,2013,151,12.5
POLJČANE,Podravska,2014,161,12.6
POLJČANE,Podravska,2015,168,12.1
POLJČANE,Podravska,2016,174,12.3
POLJČANE,Podravska,2017,152,14.2
POLJČANE,Podravska,2018,142,16.1
POLJČANE,Podravska,2019,160,13.8
POLJČANE,Podravska,2020,157,7.9
POLZELA,Savinjska,2012,145,8.2
POLZELA,Savinjska,2013,138,11.4
POLZELA,Savinjska,2014,119,10.9
POLZELA,Savinjska,2015,125,14.2
POLZELA,Savinjska,2016,126,11.0
POLZELA,Savinjska,2017,118,14.3
POLZELA,Savinjska,2018,118,15.8
POLZELA,Savinjska,2019,142,13.2
POLZELA,Savinjska,2020,174,11.5
POSTOJNA,Primorsko-notranjska,2012,166,7.0
POSTOJNA,Primorsko-notranjska,2013,163,6.0
POSTOJNA,Primorsko-notranjska,2014,180,7.3
POSTOJNA,Primorsko-notranjska,2015,150,7.2
POSTOJNA,Primorsko-notranjska,2016,144,5.7
POSTOJNA,Primorsko-notranjska,2017,145,6.5
POSTOJNA,Primorsko-notranjska,2018,140,7.5
POSTOJNA,Primorsko-notranjska,2019,143,4.6
POSTOJNA,Primorsko-notranjska,2020,147,2.1
PREBOLD,Savinjska,2012,153,9.2
PREBOLD,Savinjska,2013,165,9.3
PREBOLD,Savinjska,2014,150,6.6
PREBOLD,Savinjska,2015,136,8.6
PREBOLD,Savinjska,2016,115,6.0
PREBOLD,Savinjska,2017,101,7.2
PREBOLD,Savinjska,2018,119,9.5
PREBOLD,Savinjska,2019,115,7.7
PREBOLD,Savinjska,2020,134,3.0
PREDDVOR,Gorenjska,2012,155,6.4
PREDDVOR,Gorenjska,2013,185,9.8
PREDDVOR,Gorenjska,2014,180,8.6
PREDDVOR,Gorenjska,2015,160,12.6
PREDDVOR,Gorenjska,2016,136,14.5
PREDDVOR,Gorenjska,2017,128,12.6
PREDDVOR,Gorenjska,2018,188,12.6
PREDDVOR,Gorenjska,2019,206,10.4
PREDDVOR,Gorenjska,2020,170,6.3
PREVALJE,Koroška,2012,128,7.4
PREVALJE,Koroška,2013,136,7.0
PREVALJE,Koroška,2014,132,6.6
PREVALJE,Koroška,2015,122,9.5
PREVALJE,Koroška,2016,119,12.5
PREVALJE,Koroška,2017,127,13.8
PREVALJE,Koroška,2018,113,15.0
PREVALJE,Koroška,2019,100,11.1
PREVALJE,Koroška,2020,108,7.4
PTUJ,Podravska,2012,117,6.0
PTUJ,Podravska,2013,123,5.9
PTUJ,Podravska,2014,120,7.8
PTUJ,Podravska,2015,117,8.6
PTUJ,Podravska,2016,127,8.1
PTUJ,Podravska,2017,125,9.6
PTUJ,Podravska,2018,128,9.6
PTUJ,Podravska,2019,134,8.4
PTUJ,Podravska,2020,129,3.1
PUCONCI,Pomurska,2012,159,8.0
PUCONCI,Pomurska,2013,148,9.5
PUCONCI,Pomurska,2014,146,7.1
PUCONCI,Pomurska,2015,128,7.4
PUCONCI,Pomurska,2016,130,12.0
PUCONCI,Pomurska,2017,132,10.8
PUCONCI,Pomurska,2018,148,14.9
PUCONCI,Pomurska,2019,149,13.2
PUCONCI,Pomurska,2020,169,8.8
RAČE - FRAM,Podravska,2012,133,-0.4
RAČE - FRAM,Podravska,2013,124,0.9
RAČE - FRAM,Podravska,2014,121,2.3
RAČE - FRAM,Podravska,2015,108,2.2
RAČE - FRAM,Podravska,2016,117,3.8
RAČE - FRAM,Podravska,2017,108,6.2
RAČE - FRAM,Podravska,2018,111,7.1
RAČE - FRAM,Podravska,2019,119,6.5
RAČE - FRAM,Podravska,2020,137,3.4
RADEČE,Posavska,2012,125,7.0
RADEČE,Posavska,2013,140,7.5
RADEČE,Posavska,2014,168,6.1
RADEČE,Posavska,2015,171,4.6
RADEČE,Posavska,2016,162,5.7
RADEČE,Posavska,2017,153,7.5
RADEČE,Posavska,2018,120,5.8
RADEČE,Posavska,2019,99,6.1
RADEČE,Posavska,2020,98,3.9
RADENCI,Pomurska,2012,131,6.2
RADENCI,Pomurska,2013,114,6.9
RADENCI,Pomurska,2014,120,6.4
RADENCI,Pomurska,2015,109,5.8
RADENCI,Pomurska,2016,130,6.2
RADENCI,Pomurska,2017,116,5.1
RADENCI,Pomurska,2018,150,6.4
RADENCI,Pomurska,2019,146,6.4
RADENCI,Pomurska,2020,138,-1.5
RADLJE OB DRAVI,Koroška,2012,134,3.9
RADLJE OB DRAVI,Koroška,2013,146,5.2
RADLJE OB DRAVI,Koroška,2014,136,7.2
RADLJE OB DRAVI,Koroška,2015,135,7.2
RADLJE OB DRAVI,Koroška,2016,114,8.1
RADLJE OB DRAVI,Koroška,2017,113,8.1
RADLJE OB DRAVI,Koroška,2018,137,11.8
RADLJE OB DRAVI,Koroška,2019,160,9.5
RADLJE OB DRAVI,Koroška,2020,140,5.6
RADOVLJICA,Gorenjska,2012,130,6.6
RADOVLJICA,Gorenjska,2013,137,10.4
RADOVLJICA,Gorenjska,2014,154,9.1
RADOVLJICA,Gorenjska,2015,142,9.5
RADOVLJICA,Gorenjska,2016,134,8.9
RADOVLJICA,Gorenjska,2017,125,8.0
RADOVLJICA,Gorenjska,2018,136,9.8
RADOVLJICA,Gorenjska,2019,142,9.2
RADOVLJICA,Gorenjska,2020,142,7.1
RAVNE NA KOROŠKEM,Koroška,2012,111,1.8
RAVNE NA KOROŠKEM,Koroška,2013,113,1.3
RAVNE NA KOROŠKEM,Koroška,2014,131,1.4
RAVNE NA KOROŠKEM,Koroška,2015,115,5.1
RAVNE NA KOROŠKEM,Koroška,2016,119,6.9
RAVNE NA KOROŠKEM,Koroška,2017,123,7.9
RAVNE NA KOROŠKEM,Koroška,2018,132,9.9
RAVNE NA KOROŠKEM,Koroška,2019,117,8.7
RAVNE NA KOROŠKEM,Koroška,2020,113,6.1
RAZKRIŽJE,Pomurska,2012,129,10.3
RAZKRIŽJE,Pomurska,2013,152,10.5
RAZKRIŽJE,Pomurska,2014,171,8.0
RAZKRIŽJE,Pomurska,2015,163,12.9
RAZKRIŽJE,Pomurska,2016,119,14.3
RAZKRIŽJE,Pomurska,2017,143,13.2
RAZKRIŽJE,Pomurska,2018,146,15.1
RAZKRIŽJE,Pomurska,2019,114,15.8
RAZKRIŽJE,Pomurska,2020,158,4.4
REČICA OB SAVINJI,Savinjska,2012,134,-3.0
REČICA OB SAVINJI,Savinjska,2013,138,1.8
REČICA OB SAVINJI,Savinjska,2014,200,3.5
REČICA OB SAVINJI,Savinjska,2015,176,3.9
REČICA OB SAVINJI,Savinjska,2016,227,2.3
REČICA OB SAVINJI,Savinjska,2017,171,1.2
REČICA OB SAVINJI,Savinjska,2018,193,2.8
REČICA OB SAVINJI,Savinjska,2019,140,-2.1
REČICA OB SAVINJI,Savinjska,2020,143,-5.1
RENČE - VOGRSKO,Goriška,2012,144,5.8
RENČE - VOGRSKO,Goriška,2013,133,9.1
RENČE - VOGRSKO,Goriška,2014,132,6.2
RENČE - VOGRSKO,Goriška,2015,148,6.6
RENČE - VOGRSKO,Goriška,2016,115,4.2
RENČE - VOGRSKO,Goriška,2017,112,4.7
RENČE - VOGRSKO,Goriška,2018,134,7.9
RENČE - VOGRSKO,Goriška,2019,116,6.9
RENČE - VOGRSKO,Goriška,2020,110,-0.6
RIBNICA,Jugovzhodna Slovenija,2012,152,3.8
RIBNICA,Jugovzhodna Slovenija,2013,143,2.3
RIBNICA,Jugovzhodna Slovenija,2014,156,3.3
RIBNICA,Jugovzhodna Slovenija,2015,152,4.0
RIBNICA,Jugovzhodna Slovenija,2016,148,4.7
RIBNICA,Jugovzhodna Slovenija,2017,160,4.3
RIBNICA,Jugovzhodna Slovenija,2018,172,7.4
RIBNICA,Jugovzhodna Slovenija,2019,148,5.4
RIBNICA,Jugovzhodna Slovenija,2020,158,1.6
RIBNICA NA POHORJU,Koroška,2012,146,-10.2
RIBNICA NA POHORJU,Koroška,2013,155,-9.3
RIBNICA NA POHORJU,Koroška,2014,113,-4.9
RIBNICA NA POHORJU,Koroška,2015,111,-6.0
RIBNICA NA POHORJU,Koroška,2016,105,2.3
RIBNICA NA POHORJU,Koroška,2017,154,0.7
RIBNICA NA POHORJU,Koroška,2018,143,8.5
RIBNICA NA POHORJU,Koroška,2019,119,6.5
RIBNICA NA POHORJU,Koroška,2020,118,3.7
ROGAŠKA SLATINA,Savinjska,2012,130,-0.1
ROGAŠKA SLATINA,Savinjska,2013,129,0.7
ROGAŠKA SLATINA,Savinjska,2014,136,0.2
ROGAŠKA SLATINA,Savinjska,2015,145,1.7
ROGAŠKA SLATINA,Savinjska,2016,127,0.8
ROGAŠKA SLATINA,Savinjska,2017,125,-0.1
ROGAŠKA SLATINA,Savinjska,2018,125,3.5
ROGAŠKA SLATINA,Savinjska,2019,135,3.1
ROGAŠKA SLATINA,Savinjska,2020,115,-2.0
ROGAŠOVCI,Pomurska,2012,186,-1.7
ROGAŠOVCI,Pomurska,2013,173,1.6
ROGAŠOVCI,Pomurska,2014,180,-1.7
ROGAŠOVCI,Pomurska,2015,174,-0.7
ROGAŠOVCI,Pomurska,2016,189,2.0
ROGAŠOVCI,Pomurska,2017,185,3.8
ROGAŠOVCI,Pomurska,2018,161,2.2
ROGAŠOVCI,Pomurska,2019,146,3.5
ROGAŠOVCI,Pomurska,2020,159,-1.1
ROGATEC,Savinjska,2012,123,2.3
ROGATEC,Savinjska,2013,124,3.5
ROGATEC,Savinjska,2014,125,4.9
ROGATEC,Savinjska,2015,106,3.9
ROGATEC,Savinjska,2016,129,5.2
ROGATEC,Savinjska,2017,153,7.0
ROGATEC,Savinjska,2018,189,9.2
ROGATEC,Savinjska,2019,192,6.9
ROGATEC,Savinjska,2020,174,3.6
RUŠE,Podravska,2012,105,9.2
RUŠE,Podravska,2013,106,8.6
RUŠE,Podravska,2014,113,9.7
RUŠE,Podravska,2015,133,8.7
RUŠE,Podravska,2016,126,9.6
RUŠE,Podravska,2017,112,8.7
RUŠE,Podravska,2018,108,11.7
RUŠE,Podravska,2019,93,11.1
RUŠE,Podravska,2020,101,6.7
SELNICA OB DRAVI,Podravska,2012,168,4.5
SELNICA OB DRAVI,Podravska,2013,175,8.3
SELNICA OB DRAVI,Podravska,2014,167,7.8
SELNICA OB DRAVI,Podravska,2015,162,8.1
SELNICA OB DRAVI,Podravska,2016,156,7.7
SELNICA OB DRAVI,Podravska,2017,160,9.4
SELNICA OB DRAVI,Podravska,2018,159,8.7
SELNICA OB DRAVI,Podravska,2019,175,8.8
SELNICA OB DRAVI,Podravska,2020,163,2.6
SEMIČ,Jugovzhodna Slovenija,2012,122,1.3
SEMIČ,Jugovzhodna Slovenija,2013,119,7.1
SEMIČ,Jugovzhodna Slovenija,2014,141,8.9
SEMIČ,Jugovzhodna Slovenija,2015,143,8.8
SEMIČ,Jugovzhodna Slovenija,2016,190,10.5
SEMIČ,Jugovzhodna Slovenija,2017,161,11.1
SEMIČ,Jugovzhodna Slovenija,2018,147,9.5
SEMIČ,Jugovzhodna Slovenija,2019,178,8.9
SEMIČ,Jugovzhodna Slovenija,2020,160,4.2
SEVNICA,Posavska,2012,143,1.7
SEVNICA,Posavska,2013,138,2.6
SEVNICA,Posavska,2014,132,4.3
SEVNICA,Posavska,2015,132,5.2
SEVNICA,Posavska,2016,128,4.3
SEVNICA,Posavska,2017,116,6.4
SEVNICA,Posavska,2018,119,7.3
SEVNICA,Posavska,2019,128,6.9
SEVNICA,Posavska,2020,134,2.5
SEŽANA,Obalno-kraška,2012,131,5.0
SEŽANA,Obalno-kraška,2013,153,5.6
SEŽANA,Obalno-kraška,2014,130,7.7
SEŽANA,Obalno-kraška,2015,124,5.5
SEŽANA,Obalno-kraška,2016,143,5.1
SEŽANA,Obalno-kraška,2017,124,7.0
SEŽANA,Obalno-kraška,2018,148,5.8
SEŽANA,Obalno-kraška,2019,169,4.2
SEŽANA,Obalno-kraška,2020,154,1.5
SLOVENJ GRADEC,Koroška,2012,131,5.6
SLOVENJ GRADEC,Koroška,2013,125,6.0
SLOVENJ GRADEC,Koroška,2014,122,6.5
SLOVENJ GRADEC,Koroška,2015,111,6.4
SLOVENJ GRADEC,Koroška,2016,110,6.3
SLOVENJ GRADEC,Koroška,2017,124,7.3
SLOVENJ GRADEC,Koroška,2018,119,8.2
SLOVENJ GRADEC,Koroška,2019,130,6.8
SLOVENJ GRADEC,Koroška,2020,133,4.0
SLOVENSKA BISTRICA,Podravska,2012,142,5.4
SLOVENSKA BISTRICA,Podravska,2013,144,7.3
SLOVENSKA BISTRICA,Podravska,2014,151,6.1
SLOVENSKA BISTRICA,Podravska,2015,142,6.9
SLOVENSKA BISTRICA,Podravska,2016,149,6.1
SLOVENSKA BISTRICA,Podravska,2017,141,7.3
SLOVENSKA BISTRICA,Podravska,2018,134,9.0
SLOVENSKA BISTRICA,Podravska,2019,134,6.8
SLOVENSKA BISTRICA,Podravska,2020,137,3.5
SLOVENSKE KONJICE,Savinjska,2012,139,4.7
SLOVENSKE KONJICE,Savinjska,2013,135,5.7
SLOVENSKE KONJICE,Savinjska,2014,128,6.4
SLOVENSKE KONJICE,Savinjska,2015,124,6.5
SLOVENSKE KONJICE,Savinjska,2016,134,4.3
SLOVENSKE KONJICE,Savinjska,2017,135,7.6
SLOVENSKE KONJICE,Savinjska,2018,129,8.7
SLOVENSKE KONJICE,Savinjska,2019,116,6.7
SLOVENSKE KONJICE,Savinjska,2020,114,3.3
SODRAŽICA,Jugovzhodna Slovenija,2012,184,11.9
SODRAŽICA,Jugovzhodna Slovenija,2013,164,3.6
SODRAŽICA,Jugovzhodna Slovenija,2014,141,7.6
SODRAŽICA,Jugovzhodna Slovenija,2015,148,7.7
SODRAŽICA,Jugovzhodna Slovenija,2016,148,9.2
SODRAŽICA,Jugovzhodna Slovenija,2017,143,9.4
SODRAŽICA,Jugovzhodna Slovenija,2018,165,8.3
SODRAŽICA,Jugovzhodna Slovenija,2019,181,4.4
SODRAŽICA,Jugovzhodna Slovenija,2020,160,-3.7
SOLČAVA,Savinjska,2012,222,-7.4
SOLČAVA,Savinjska,2013,267,-2.3
SOLČAVA,Savinjska,2014,325,1.6
SOLČAVA,Savinjska,2015,150,-7.2
SOLČAVA,Savinjska,2016,150,-16.5
SOLČAVA,Savinjska,2017,150,-7.9
SOLČAVA,Savinjska,2018,117,-7.7
SOLČAVA,Savinjska,2019,150,-12.9
SOLČAVA,Savinjska,2020,180,-12.8
SREDIŠČE OB DRAVI,Podravska,2012,197,-1.0
SREDIŠČE OB DRAVI,Podravska,2013,235,-4.2
SREDIŠČE OB DRAVI,Podravska,2014,216,-3.2
SREDIŠČE OB DRAVI,Podravska,2015,188,-1.0
SREDIŠČE OB DRAVI,Podravska,2016,162,0.6
SREDIŠČE OB DRAVI,Podravska,2017,107,-1.3
SREDIŠČE OB DRAVI,Podravska,2018,150,1.8
SREDIŠČE OB DRAVI,Podravska,2019,130,2.0
SREDIŠČE OB DRAVI,Podravska,2020,132,-3.4
STARŠE,Podravska,2012,158,7.0
STARŠE,Podravska,2013,181,13.8
STARŠE,Podravska,2014,186,11.9
STARŠE,Podravska,2015,175,14.0
STARŠE,Podravska,2016,160,13.4
STARŠE,Podravska,2017,149,15.9
STARŠE,Podravska,2018,160,18.2
STARŠE,Podravska,2019,145,15.3
STARŠE,Podravska,2020,156,7.7
STRAŽA,Jugovzhodna Slovenija,2012,133,2.7
STRAŽA,Jugovzhodna Slovenija,2013,152,0.6
STRAŽA,Jugovzhodna Slovenija,2014,164,0.9
STRAŽA,Jugovzhodna Slovenija,2015,141,0.1
STRAŽA,Jugovzhodna Slovenija,2016,136,-0.4
STRAŽA,Jugovzhodna Slovenija,2017,133,-0.6
STRAŽA,Jugovzhodna Slovenija,2018,122,-2.3
STRAŽA,Jugovzhodna Slovenija,2019,128,-1.9
STRAŽA,Jugovzhodna Slovenija,2020,119,-5.2
SVETA ANA,Podravska,2012,200,1.6
SVETA ANA,Podravska,2013,177,1.3
SVETA ANA,Podravska,2014,186,0.2
SVETA ANA,Podravska,2015,144,5.5
SVETA ANA,Podravska,2016,152,4.7
SVETA ANA,Podravska,2017,140,6.7
SVETA ANA,Podravska,2018,165,7.1
SVETA ANA,Podravska,2019,141,4.7
SVETA ANA,Podravska,2020,165,1.7
SVETA TROJICA V SLOV. GORICAH,Podravska,2012,127,3.0
SVETA TROJICA V SLOV. GORICAH,Podravska,2013,128,8.9
SVETA TROJICA V SLOV. GORICAH,Podravska,2014,107,5.0
SVETA TROJICA V SLOV. GORICAH,Podravska,2015,90,3.4
SVETA TROJICA V SLOV. GORICAH,Podravska,2016,107,5.0
SVETA TROJICA V SLOV. GORICAH,Podravska,2017,107,1.0
SVETA TROJICA V SLOV. GORICAH,Podravska,2018,123,2.6
SVETA TROJICA V SLOV. GORICAH,Podravska,2019,143,0.2
SVETA TROJICA V SLOV. GORICAH,Podravska,2020,132,-1.3
SVETI ANDRAŽ V SLOV. GORICAH,Podravska,2012,97,-1.3
SVETI ANDRAŽ V SLOV. GORICAH,Podravska,2013,75,-0.5
SVETI ANDRAŽ V SLOV. GORICAH,Podravska,2014,109,7.7
SVETI ANDRAŽ V SLOV. GORICAH,Podravska,2015,105,7.0
SVETI ANDRAŽ V SLOV. GORICAH,Podravska,2016,181,1.6
SVETI ANDRAŽ V SLOV. GORICAH,Podravska,2017,144,-1.1
SVETI ANDRAŽ V SLOV. GORICAH,Podravska,2018,124,3.8
SVETI ANDRAŽ V SLOV. GORICAH,Podravska,2019,124,10.6
SVETI ANDRAŽ V SLOV. GORICAH,Podravska,2020,131,0.9
SVETI JURIJ OB ŠČAVNICI,Pomurska,2012,150,0.5
SVETI JURIJ OB ŠČAVNICI,Pomurska,2013,169,3.8
SVETI JURIJ OB ŠČAVNICI,Pomurska,2014,190,3.7
SVETI JURIJ OB ŠČAVNICI,Pomurska,2015,159,5.2
SVETI JURIJ OB ŠČAVNICI,Pomurska,2016,194,6.8
SVETI JURIJ OB ŠČAVNICI,Pomurska,2017,207,5.7
SVETI JURIJ OB ŠČAVNICI,Pomurska,2018,238,6.8
SVETI JURIJ OB ŠČAVNICI,Pomurska,2019,204,10.4
SVETI JURIJ OB ŠČAVNICI,Pomurska,2020,172,5.5
SVETI JURIJ V SLOV. GORICAH,Podravska,2012,130,0.2
SVETI JURIJ V SLOV. GORICAH,Podravska,2013,162,2.0
SVETI JURIJ V SLOV. GORICAH,Podravska,2014,129,2.3
SVETI JURIJ V SLOV. GORICAH,Podravska,2015,121,4.9
SVETI JURIJ V SLOV. GORICAH,Podravska,2016,119,7.2
SVETI JURIJ V SLOV. GORICAH,Podravska,2017,133,4.8
SVETI JURIJ V SLOV. GORICAH,Podravska,2018,148,9.0
SVETI JURIJ V SLOV. GORICAH,Podravska,2019,141,3.7
SVETI JURIJ V SLOV. GORICAH,Podravska,2020,206,-6.2
SVETI TOMAŽ,Podravska,2012,162,1.0
SVETI TOMAŽ,Podravska,2013,177,2.0
SVETI TOMAŽ,Podravska,2014,139,7.1
SVETI TOMAŽ,Podravska,2015,128,5.9
SVETI TOMAŽ,Podravska,2016,140,7.9
SVETI TOMAŽ,Podravska,2017,131,8.4
SVETI TOMAŽ,Podravska,2018,92,13.1
SVETI TOMAŽ,Podravska,2019,92,14.5
SVETI TOMAŽ,Podravska,2020,112,3.8
ŠALOVCI,Pomurska,2012,138,4.4
ŠALOVCI,Pomurska,2013,109,5.5
ŠALOVCI,Pomurska,2014,130,7.5
ŠALOVCI,Pomurska,2015,140,7.1
ŠALOVCI,Pomurska,2016,80,9.5
ŠALOVCI,Pomurska,2017,118,7.4
ŠALOVCI,Pomurska,2018,171,4.4
ŠALOVCI,Pomurska,2019,167,6.4
ŠALOVCI,Pomurska,2020,256,2.7
ŠEMPETER - VRTOJBA,Goriška,2012,123,8.2
ŠEMPETER - VRTOJBA,Goriška,2013,128,5.6
ŠEMPETER - VRTOJBA,Goriška,2014,114,4.2
ŠEMPETER - VRTOJBA,Goriška,2015,120,8.0
ŠEMPETER - VRTOJBA,Goriška,2016,123,5.5
ŠEMPETER - VRTOJBA,Goriška,2017,133,5.8
ŠEMPETER - VRTOJBA,Goriška,2018,132,6.9
ŠEMPETER - VRTOJBA,Goriška,2019,147,5.3
ŠEMPETER - VRTOJBA,Goriška,2020,162,0.3
ŠENČUR,Gorenjska,2012,152,12.3
ŠENČUR,Gorenjska,2013,145,13.3
ŠENČUR,Gorenjska,2014,149,11.9
ŠENČUR,Gorenjska,2015,146,16.1
ŠENČUR,Gorenjska,2016,161,13.8
ŠENČUR,Gorenjska,2017,147,12.4
ŠENČUR,Gorenjska,2018,136,13.8
ŠENČUR,Gorenjska,2019,122,9.2
ŠENČUR,Gorenjska,2020,125,5.2
ŠENTILJ,Podravska,2012,160,8.5
ŠENTILJ,Podravska,2013,146,8.6
ŠENTILJ,Podravska,2014,136,8.5
ŠENTILJ,Podravska,2015,141,9.0
ŠENTILJ,Podravska,2016,158,8.2
ŠENTILJ,Podravska,2017,165,8.8
ŠENTILJ,Podravska,2018,119,9.9
ŠENTILJ,Podravska,2019,137,9.5
ŠENTILJ,Podravska,2020,122,6.8
ŠENTJERNEJ,Jugovzhodna Slovenija,2012,153,3.5
ŠENTJERNEJ,Jugovzhodna Slovenija,2013,154,2.9
ŠENTJERNEJ,Jugovzhodna Slovenija,2014,135,4.9
ŠENTJERNEJ,Jugovzhodna Slovenija,2015,118,4.9
ŠENTJERNEJ,Jugovzhodna Slovenija,2016,120,7.1
ŠENTJERNEJ,Jugovzhodna Slovenija,2017,114,8.9
ŠENTJERNEJ,Jugovzhodna Slovenija,2018,145,8.6
ŠENTJERNEJ,Jugovzhodna Slovenija,2019,143,6.3
ŠENTJERNEJ,Jugovzhodna Slovenija,2020,148,2.1
ŠENTJUR,Savinjska,2012,139,4.6
ŠENTJUR,Savinjska,2013,139,3.3
ŠENTJUR,Savinjska,2014,148,4.4
ŠENTJUR,Savinjska,2015,157,4.2
ŠENTJUR,Savinjska,2016,140,5.0
ŠENTJUR,Savinjska,2017,154,7.2
ŠENTJUR,Savinjska,2018,150,7.4
ŠENTJUR,Savinjska,2019,135,6.7
ŠENTJUR,Savinjska,2020,140,3.0
ŠENTRUPERT,Jugovzhodna Slovenija,2012,144,-12.6
ŠENTRUPERT,Jugovzhodna Slovenija,2013,173,-5.3
ŠENTRUPERT,Jugovzhodna Slovenija,2014,158,-9.5
ŠENTRUPERT,Jugovzhodna Slovenija,2015,140,-3.7
ŠENTRUPERT,Jugovzhodna Slovenija,2016,144,-2.3
ŠENTRUPERT,Jugovzhodna Slovenija,2017,154,-2.9
ŠENTRUPERT,Jugovzhodna Slovenija,2018,144,-2.1
ŠENTRUPERT,Jugovzhodna Slovenija,2019,168,-0.6
ŠENTRUPERT,Jugovzhodna Slovenija,2020,131,-3.8
ŠKOCJAN,Jugovzhodna Slovenija,2012,145,6.5
ŠKOCJAN,Jugovzhodna Slovenija,2013,198,5.2
ŠKOCJAN,Jugovzhodna Slovenija,2014,182,6.2
ŠKOCJAN,Jugovzhodna Slovenija,2015,222,6.0
ŠKOCJAN,Jugovzhodna Slovenija,2016,218,3.3
ŠKOCJAN,Jugovzhodna Slovenija,2017,195,9.1
ŠKOCJAN,Jugovzhodna Slovenija,2018,184,6.9
ŠKOCJAN,Jugovzhodna Slovenija,2019,192,4.3
ŠKOCJAN,Jugovzhodna Slovenija,2020,184,2.5
ŠKOFJA LOKA,Gorenjska,2012,140,9.7
ŠKOFJA LOKA,Gorenjska,2013,139,10.7
ŠKOFJA LOKA,Gorenjska,2014,132,12.2
ŠKOFJA LOKA,Gorenjska,2015,122,12.5
ŠKOFJA LOKA,Gorenjska,2016,125,11.7
ŠKOFJA LOKA,Gorenjska,2017,141,11.0
ŠKOFJA LOKA,Gorenjska,2018,134,12.4
ŠKOFJA LOKA,Gorenjska,2019,135,10.6
ŠKOFJA LOKA,Gorenjska,2020,128,5.8
ŠKOFLJICA,Osrednjeslovenska,2012,142,6.7
ŠKOFLJICA,Osrednjeslovenska,2013,137,7.9
ŠKOFLJICA,Osrednjeslovenska,2014,133,7.8
